Real,Predicho
1.369,2.281107382551358
2.413,2.7900912823529245
2.007,1.9033279441821949
0.725,1.0176033121191699
4.6,2.948524247521788
1.2,2.09053996556325
2.47,2.9912387558566844
3.369,3.056619497028347
3.397,2.980227393412348
2.656,2.3880602882857747
2.379,2.3497513993572134
0.922,1.1038213430184953
0.795,0.8216293317828902
1.375,1.6486894359684832
2.201,2.190728129688946
2.761,2.8469239950909913
3.953,3.50218305640767
3.0,1.9811997607044072
1.827,1.9444135865489471
3.864,2.467494778968883
1.314,1.6286016267591787
0.742,0.9481607062355173
2.31,2.8716139784137864
3.941,2.5623692674666287
1.761,1.7561751182837941
1.734,1.6107107678659958
2.021,2.017163245996576
1.708,2.2467219606739417
0.926,1.723934059686901
0.57,1.0090611268819882
4.657,3.378606348156765
3.726,2.864664527041822
4.0,2.6261687316339963
1.539,1.9838498241751572
1.0,0.6327986218243562
1.587,1.7007682367103636
1.421,1.842397255268425
1.396,1.5419724518534035
3.197,2.237915811645699
1.313,2.078821451888174
1.107,2.0227731628974808
0.849,1.2858433689403705
0.704,1.1819561169496104
2.76,2.4473260519311277
1.58,2.217534304484819
0.542,0.3797449746873882
1.232,1.836582040601742
1.162,1.9107841446910732
1.592,2.338186796538143
2.155,2.6008542481579133
2.781,3.382037428063139
0.66,1.228885760006847
2.929,2.863569069933349
1.712,1.365260519670377
2.75,1.463232910906728
0.962,1.6940428516405288
5.00001,1.139277003966706
1.676,2.0928850823957683
1.829,2.1533852542909524
2.231,3.291221080517527
1.733,1.7304025634263165
1.891,1.8193743581324655
1.177,1.2686117973414044
2.468,2.475914762851564
0.618,1.4111418256042088
0.934,1.5744838579392273
0.557,1.1934589158349185
3.905,3.444875970473351
2.03,2.316412598031369
0.889,1.2789465333850418
5.00001,4.39403943024036
1.703,1.7177627464821383
1.55,1.6566207397398127
0.579,0.8565771538683147
5.00001,2.5550395085377238
1.083,0.5163035989508702
3.506,2.4556510575605217
2.032,1.9378790174573046
2.214,2.323294668118407
1.553,2.112049188035172
2.706,2.80885662894162
2.0,1.7885141875700357
0.875,1.0841362003324717
2.045,2.4311169377651933
1.969,2.5806321338917826
1.839,2.3939751187445073
0.786,0.7784061401312254
1.458,1.582416614454246
0.767,1.214500317896191
0.985,2.2064065709614
2.217,2.528005290906574
1.713,2.199255793812026
0.618,0.9915891521419449
2.747,2.5849712989197347
0.75,0.7835376537005503
2.042,2.2580509523827605
3.75,2.707354685188967
2.408,2.72922722318268
1.391,0.814137984593891
3.906,3.0318442077332683
1.822,1.9155158918576198
2.298,2.2726183683313703
3.325,1.6476634731426265
2.454,2.6385711790647752
1.761,2.34543081920454
2.776,2.8089020711142085
1.898,1.74879604371319
0.883,0.9490045190319227
0.623,0.9594774492732296
3.222,1.5107060553906748
2.262,2.6865075182097344
0.669,1.163719279418745
2.226,2.035151427012504
4.613,2.960855686269187
1.702,2.1277663607927018
3.255,3.012821599914586
0.983,1.758642720164382
1.531,2.1604254707984696
1.653,1.8663605916619999
0.909,1.3766771122131558
1.867,2.921020547896364
